[paso 00028] tick=00028 serv=2/50 cov=4.0% energia_prom=622.4 rtb=0 viol=0 serv_uav={0: 1, 1: 1, 2: 0, 3: 0} cov_uav={0: 0.02, 1: 0.02, 2: 0.0, 3: 0.0}
[paso 00029] tick=00029 serv=2/50 cov=4.0% energia_prom=621.4 rtb=0 viol=0 serv_uav={0: 1, 1: 1, 2: 0, 3: 0} cov_uav={0: 0.02, 1: 0.02, 2: 0.0, 3: 0.0}
[paso 00030] tick=00030 serv=2/50 cov=4.0% energia_prom=620.4 rtb=0 viol=0 serv_uav={0: 1, 1: 1, 2: 0, 3: 0} cov_uav={0: 0.02, 1: 0.02, 2: 0.0, 3: 0.0}
[paso 00031] tick=00031 serv=2/50 cov=4.0% energia_prom=619.4 rtb=0 viol=0 serv_uav={0: 1, 1: 1, 2: 0, 3: 0} cov_uav={0: 0.02, 1: 0.02, 2: 0.0, 3: 0.0}
[paso 00032] tick=00032 serv=3/50 cov=6.0% energia_prom=618.6 rtb=0 viol=0 serv_uav={0: 1, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.02, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00033] tick=00033 serv=3/50 cov=6.0% energia_prom=617.6 rtb=0 viol=0 serv_uav={0: 1, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.02, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00034] tick=00034 serv=4/50 cov=8.0% energia_prom=616.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00035] tick=00035 serv=4/50 cov=8.0% energia_prom=615.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00036] tick=00036 serv=4/50 cov=8.0% energia_prom=614.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00037] tick=00037 serv=4/50 cov=8.0% energia_prom=613.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00038] tick=00038 serv=4/50 cov=8.0% energia_prom=612.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00039] tick=00039 serv=4/50 cov=8.0% energia_prom=611.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00040] tick=00040 serv=4/50 cov=8.0% energia_prom=610.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00041] tick=00041 serv=4/50 cov=8.0% energia_prom=609.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00042] tick=00042 serv=4/50 cov=8.0% energia_prom=608.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00043] tick=00043 serv=4/50 cov=8.0% energia_prom=607.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00044] tick=00044 serv=4/50 cov=8.0% energia_prom=605.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00045] tick=00045 serv=4/50 cov=8.0% energia_prom=604.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00046] tick=00046 serv=4/50 cov=8.0% energia_prom=603.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00047] tick=00047 serv=4/50 cov=8.0% energia_prom=602.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00048] tick=00048 serv=4/50 cov=8.0% energia_prom=601.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00049] tick=00049 serv=4/50 cov=8.0% energia_prom=599.9 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00050] tick=00050 serv=4/50 cov=8.0% energia_prom=598.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
