episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
51,0.62000,-4.34442,-0.80460,lurigancho_fixed,0.010252,0.037985,268.007,13970.036
52,0.64000,-4.17589,-0.58655,lurigancho_fixed,0.000092,0.035611,269.923,14239.961
53,0.48000,-4.13654,-0.35794,lurigancho_fixed,0.442864,28.470732,226.265,14466.228
54,0.58000,-4.21667,-0.41039,lurigancho_fixed,-0.195867,25.189291,262.325,14728.555
55,0.52000,-4.23726,-0.43385,lurigancho_fixed,0.335753,576.264404,269.178,14997.735
56,0.50000,-4.18445,-0.36985,lurigancho_fixed,-0.051086,0.252306,271.870,15269.608
57,0.54000,-4.05274,-0.22575,lurigancho_fixed,-0.200867,1.491881,245.070,15514.679
58,0.62000,-4.03537,-0.23057,lurigancho_fixed,-0.819361,29.429398,238.904,15753.585
59,0.62000,-4.43425,-0.68191,lurigancho_fixed,-0.475639,9.039695,238.644,15992.231
60,0.58000,-4.06935,-0.21813,lurigancho_fixed,-0.361127,3.279170,241.453,16233.687
61,0.70000,-3.59626,0.21499,lurigancho_fixed,0.132980,0.134716,183.067,16416.757
62,0.56000,-3.26715,0.30074,lurigancho_fixed,0.126361,0.043813,124.685,16541.444
63,0.34000,-3.18505,0.23733,lurigancho_fixed,0.153380,0.075697,126.492,16667.937
64,0.52000,-3.37109,-0.08753,lurigancho_fixed,0.057319,0.011832,220.252,16888.191
65,0.58000,-3.55834,-0.25791,lurigancho_fixed,0.009710,0.049563,239.104,17127.298
66,0.56000,-3.63188,-0.29632,lurigancho_fixed,0.528696,77.318382,265.627,17392.928
67,0.60000,-4.28731,-0.92023,lurigancho_fixed,0.393260,280.663330,242.067,17634.997
68,0.58000,-4.32348,-0.72193,lurigancho_fixed,0.363650,8.532988,145.989,17780.988
69,0.50000,-3.64865,0.16480,lurigancho_fixed,-0.204258,2.090868,126.297,17907.286
70,0.56000,-4.08000,-0.35193,lurigancho_fixed,0.070179,0.014646,153.676,18060.966
71,0.44000,-3.61991,0.08059,lurigancho_fixed,0.008766,0.114544,234.856,18295.824
72,0.60000,-3.51376,0.12852,lurigancho_fixed,-0.016663,0.499907,146.292,18442.118
73,0.60000,-3.30722,0.22287,lurigancho_fixed,0.082076,0.073113,130.432,18572.551
74,0.64000,-3.74479,-0.37747,lurigancho_fixed,0.024038,0.016877,137.368,18709.921
75,0.54000,-3.40795,0.08744,lurigancho_fixed,0.133954,0.810645,127.422,18837.345
76,0.64000,-3.51823,-0.06905,lurigancho_fixed,0.147616,0.361134,1832.576,20669.923
77,0.56000,-3.30131,0.17226,lurigancho_fixed,0.148162,0.292934,310.073,20980.000
78,0.56000,-3.55619,-0.15918,lurigancho_fixed,0.014078,0.069930,315.671,21295.675
79,0.70000,-3.25865,0.16671,lurigancho_fixed,-0.094808,1.493453,314.467,21610.145
80,0.62000,-3.26730,0.02312,lurigancho_fixed,0.077589,0.029442,315.676,21925.824
81,0.72000,-3.11602,0.13003,lurigancho_fixed,0.101200,0.092457,315.548,22241.374
82,0.54000,-3.04280,0.05862,lurigancho_fixed,0.010550,0.091269,257.202,22498.579
83,0.12000,-3.14903,-0.04657,lurigancho_fixed,0.055481,0.002215,251.695,22750.276
84,0.58000,-3.46116,-0.26467,lurigancho_fixed,0.325381,119.098457,247.767,22998.045
85,0.56000,-3.41281,-0.14246,lurigancho_fixed,0.045145,0.021558,267.733,23265.781
86,0.54000,-3.46646,-0.11143,lurigancho_fixed,0.386427,8.116279,201.320,23467.102
87,0.54000,-3.50221,-0.15223,lurigancho_fixed,-0.178656,1.113051,250.959,23718.064
