episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
58,0.80000,10.11214,0.68324,lurigancho_random,0.002472,24.147047,30.975,2165.076
59,0.72000,9.87292,0.15021,lurigancho_random,0.138622,41.165512,29.473,2194.550
60,0.66000,9.73837,0.00026,lurigancho_random,-0.288292,68.963913,28.926,2223.477
61,0.98000,10.95732,1.30807,lurigancho_random,-0.132254,36.778690,30.113,2253.591
62,0.94000,10.16949,0.25375,lurigancho_random,-0.053192,91.048515,30.086,2283.679
63,0.94000,10.97894,1.01904,lurigancho_random,-0.112259,81.094215,33.321,2317.000
64,0.72000,10.66350,0.45157,lurigancho_random,-0.044320,38.498199,28.985,2345.986
65,0.86000,10.51907,0.04710,lurigancho_random,-0.284245,43.379375,27.937,2373.924
66,0.68000,10.61846,0.16228,lurigancho_random,-0.029203,51.341194,28.857,2402.782
67,0.72000,9.08121,-1.36854,lurigancho_random,-0.084143,10.758696,28.317,2431.100
68,0.80000,10.03423,-0.13713,lurigancho_random,-0.240580,33.024158,29.204,2460.306
69,0.70000,10.27453,0.22351,lurigancho_random,0.195043,30.769651,27.981,2488.287
70,0.70000,10.30224,0.16673,lurigancho_random,0.242215,19.553108,29.268,2517.556
71,0.54000,10.43766,0.21604,lurigancho_random,0.118042,32.520702,27.400,2544.957
72,0.60000,10.56897,0.27816,lurigancho_random,0.180424,16.510687,28.943,2573.901
73,0.68000,10.33880,-0.20128,lurigancho_random,0.215276,21.991030,28.321,2602.223
74,0.68000,7.11009,-3.22628,lurigancho_random,0.163630,79.814560,28.611,2630.835
75,0.70000,10.33208,0.28109,lurigancho_random,0.259251,36.468796,28.308,2659.144
76,0.74000,10.12278,-0.00099,lurigancho_random,-0.024334,39.635654,28.485,2687.630
77,0.74000,10.19859,0.10405,lurigancho_random,0.070324,18.278723,27.525,2715.157
78,0.74000,10.75640,0.53043,lurigancho_random,0.118708,62.947456,28.338,2743.495
79,0.68000,8.62016,-1.84570,lurigancho_random,-0.176779,40.387440,28.371,2771.868
80,0.16000,8.45711,-1.76703,lurigancho_random,0.018383,4.699861,28.497,2800.366
81,0.86000,8.34105,-1.58685,lurigancho_random,0.066294,32.096642,37.639,2838.006
82,0.52000,9.57096,-0.05969,lurigancho_random,-0.079543,58.984768,41.306,2879.313
83,0.54000,9.89689,0.27619,lurigancho_random,-0.103387,50.975086,48.317,2927.633
84,0.18000,7.83071,-2.05144,lurigancho_random,-0.280948,14.112802,47.693,2975.327
85,0.16000,7.77674,-1.87745,lurigancho_random,-0.081043,20.605400,45.644,3020.973
86,0.64000,7.94374,-1.41612,lurigancho_random,0.015231,17.442638,44.170,3065.144
87,0.18000,7.35308,-1.71473,lurigancho_random,0.137893,4.309021,44.934,3110.080
88,0.14000,7.04769,-1.72255,lurigancho_random,0.080143,8.532785,44.431,3154.512
89,0.12000,6.92454,-1.53899,lurigancho_random,0.087195,3.859466,45.611,3200.125
90,0.12000,6.57938,-1.58084,lurigancho_random,-0.090589,20.205431,45.307,3245.433
91,0.14000,6.56564,-1.28106,lurigancho_random,0.083975,25.407223,45.163,3290.598
92,0.14000,6.20953,-1.34333,lurigancho_random,0.122356,5.152353,44.419,3335.018
93,0.56000,6.11007,-1.13110,lurigancho_random,0.073703,36.593742,44.267,3379.288
94,0.10000,5.65240,-1.28045,lurigancho_random,0.002796,5.707801,44.348,3423.637
95,0.12000,5.40611,-1.22228,lurigancho_random,0.031506,28.220114,44.796,3468.435
96,0.06000,4.83068,-1.50049,lurigancho_random,0.080517,2.097065,44.844,3513.281
97,0.16000,5.03960,-1.00236,lurigancho_random,-0.065663,55.007023,44.290,3557.573
98,0.28000,5.28682,-0.45908,lurigancho_random,0.005677,19.048145,44.991,3602.565
99,0.26000,5.00536,-0.44318,lurigancho_random,-0.054945,23.482874,44.221,3646.788
100,0.12000,4.16690,-1.02394,lurigancho_random,-0.018881,3.833767,44.443,3691.233
101,0.18000,4.05511,-0.83475,lurigancho_random,0.030754,2.928439,44.102,3735.336
102,0.18000,3.61119,-0.97999,lurigancho_random,0.058500,2.534528,44.333,3779.671
103,0.20000,3.50155,-0.79854,lurigancho_random,0.135494,1.251961,43.491,3823.163
104,0.16000,3.37244,-0.63662,lurigancho_random,-0.018282,8.704317,44.376,3867.541
105,0.36000,4.10376,0.39920,lurigancho_random,0.115648,5.345363,45.311,3912.853
106,0.34000,3.70297,-0.24460,lurigancho_random,-0.190677,19.593292,45.091,3957.946
107,0.36000,3.39751,-0.31006,lurigancho_random,-0.010720,23.010201,45.246,4003.194
108,0.28000,3.28417,-0.22099,lurigancho_random,-0.171045,22.497332,44.933,4048.129
109,0.22000,2.67592,-0.71175,lurigancho_random,0.168195,12.860649,45.769,4093.900
110,0.28000,1.73465,-1.36782,lurigancho_random,-0.158794,6.295004,45.109,4139.010
111,0.44000,3.30058,0.49776,lurigancho_random,-0.068173,14.345479,44.289,4183.300
112,0.56000,3.07017,0.01994,lurigancho_random,-0.107572,26.597795,44.799,4228.101
113,0.68000,2.82092,-0.27685,lurigancho_random,0.027711,57.072136,45.955,4274.057
114,0.60000,3.78187,0.93215,lurigancho_random,0.065156,28.187536,45.722,4319.781
115,0.70000,4.53544,1.44852,lurigancho_random,-0.261651,43.431953,44.167,4363.950
116,0.84000,4.81967,1.43902,lurigancho_random,0.021380,103.378021,45.999,4409.950
117,0.10000,2.63759,-1.02866,lurigancho_random,-0.272506,12.236713,46.047,4455.999
118,0.70000,3.54450,0.14164,lurigancho_random,0.007790,38.002193,45.034,4501.034
119,0.74000,4.20745,0.68890,lurigancho_random,-0.102531,27.499611,44.702,4545.737
120,0.84000,5.56278,1.75968,lurigancho_random,0.018101,35.852016,45.002,4590.741
121,0.82000,5.54965,1.43525,lurigancho_random,0.155139,50.673325,45.433,4636.175
122,0.72000,5.57342,1.15923,lurigancho_random,-0.034899,61.864750,45.502,4681.679
123,0.62000,5.31881,0.59576,lurigancho_random,-0.014633,19.421309,44.892,4726.573
124,0.78000,6.34798,1.35530,lurigancho_random,0.199752,15.383629,45.031,4771.606
125,0.78000,6.70137,1.43229,lurigancho_random,0.029590,69.320351,44.715,4816.321
126,0.78000,6.79920,1.22986,lurigancho_random,-0.052010,73.453720,44.263,4860.585
127,0.64000,6.60947,0.74869,lurigancho_random,0.021639,29.430098,33.583,4894.170
128,0.86000,7.92260,1.77840,lurigancho_random,0.039761,57.123680,38.151,4932.323
129,0.84000,7.57827,1.13311,lurigancho_random,0.100244,24.762424,45.280,4977.604
130,0.82000,7.72008,0.98515,lurigancho_random,-0.168743,36.452656,44.856,5022.461
131,0.86000,7.98742,0.96290,lurigancho_random,0.002870,36.884792,43.699,5066.162
132,0.88000,9.26642,1.93958,lurigancho_random,0.023346,94.402466,44.856,5111.019
133,0.66000,7.75168,0.13770,lurigancho_random,-0.179191,88.297150,44.282,5155.302
134,0.90000,8.63741,0.97312,lurigancho_random,0.241560,55.778690,44.155,5199.459
135,0.60000,8.04466,0.09294,lurigancho_random,-0.102347,35.822166,45.410,5244.870
136,0.70000,8.05395,0.10285,lurigancho_random,-0.057927,56.983761,46.021,5290.891
137,0.68000,8.91956,0.85805,lurigancho_random,0.112412,64.616737,44.334,5335.228
138,0.70000,8.53938,0.22945,lurigancho_random,-0.055574,41.012489,45.225,5380.455
139,0.62000,8.19850,-0.32603,lurigancho_random,0.135627,10.525403,45.822,5426.277
140,0.66000,8.67035,0.34946,lurigancho_random,0.058955,53.987949,45.535,5471.814
141,0.76000,9.09698,0.56053,lurigancho_random,-0.119353,58.343647,45.052,5516.868
142,0.12000,7.36139,-1.46997,lurigancho_random,-0.008529,5.964566,45.828,5562.698
143,0.70000,8.71158,0.11909,lurigancho_random,-0.024680,67.754623,44.658,5607.357
144,0.56000,8.48023,-0.34131,lurigancho_random,0.012266,40.319275,37.041,5644.399
145,0.60000,6.50830,-2.10133,lurigancho_random,-0.261144,70.380608,38.178,5682.579
146,0.64000,8.89379,0.57963,lurigancho_random,0.054517,38.844490,46.811,5729.390
147,0.06000,6.84865,-1.72549,lurigancho_random,-0.025452,4.773077,44.952,5774.344
148,0.64000,5.00936,-3.34446,lurigancho_random,-0.075538,115.440666,44.930,5819.275
149,0.70000,6.79243,-1.28104,lurigancho_random,0.206540,12.317152,44.548,5863.824
150,0.72000,6.22435,-1.55340,lurigancho_random,0.050418,25.223499,45.673,5909.499
151,0.14000,5.93279,-1.54644,lurigancho_random,0.145052,4.095532,44.692,5954.192
152,0.72000,6.97205,-0.20044,lurigancho_random,-0.030129,47.189835,44.336,5998.530
153,0.68000,6.49680,-0.51271,lurigancho_random,0.022972,19.097717,44.892,6043.423
154,0.70000,6.83619,0.09638,lurigancho_random,-0.104569,40.683510,45.843,6089.268
155,0.76000,7.48545,0.51181,lurigancho_random,0.176831,42.825874,45.542,6134.812
156,0.64000,7.89334,0.62813,lurigancho_random,-0.108711,47.377598,44.138,6178.952
157,0.70000,7.87804,0.33723,lurigancho_random,-0.048907,67.020409,45.729,6224.683
158,0.74000,7.31269,-0.37097,lurigancho_random,0.174380,16.878193,45.864,6270.548
159,0.76000,8.48770,1.06378,lurigancho_random,-0.098055,100.359535,45.714,6316.263
160,0.86000,9.33090,1.65617,lurigancho_random,-0.019831,50.125896,45.688,6361.954
161,0.86000,8.31120,0.32968,lurigancho_random,-0.056701,27.895998,45.556,6407.511
162,0.70000,8.52969,0.49759,lurigancho_random,0.000539,28.364508,46.282,6453.794
163,0.64000,8.11243,-0.16202,lurigancho_random,-0.009917,17.974575,45.686,6499.482
164,0.70000,8.93707,0.76033,lurigancho_random,0.107031,22.789394,45.099,6544.582
165,0.72000,9.01848,0.59597,lurigancho_random,-0.031904,42.559719,44.715,6589.298
166,0.80000,9.84704,1.12509,lurigancho_random,0.078226,22.890987,45.951,6635.250
167,0.88000,9.28783,0.26353,lurigancho_random,0.011410,25.364037,44.963,6680.214
168,0.10000,7.39629,-1.71588,lurigancho_random,-0.102027,5.131565,45.509,6725.724
169,0.80000,8.63527,-0.23377,lurigancho_random,-0.121153,49.608353,43.282,6769.008
170,0.64000,8.98667,0.27246,lurigancho_random,-0.085728,57.453514,45.500,6814.509
171,0.78000,9.46009,0.58173,lurigancho_random,0.030467,53.255428,45.735,6860.246
